time,iteration,module,variant_index,params,status,resp_len,reward,counts,values
1761287163.1331449,1,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,2.168717102284236,"[1, 0, 0, 0]","[2.168717102284236, 0.0, 0.0, 0.0]"
1761287164.1465251,1,search,0,"{""q"": ""needle""}",200,36,0.029143299290450782,"[1, 0, 0]","[0.029143299290450782, 0.0, 0.0]"
1761287166.9368656,2,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,2.1755826934220597,"[1, 1, 0, 0]","[2.168717102284236, 2.1755826934220597, 0.0, 0.0]"
1761287167.9613726,2,search,1,"{""q"": ""haystack""}",200,36,0.0038613266461262675,"[1, 1, 0]","[0.029143299290450782, 0.0038613266461262675, 0.0]"
1761287170.4394038,3,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.08099696729762512,"[1, 1, 1, 0]","[2.168717102284236, 2.1755826934220597, 0.08099696729762512, 0.0]"
1761287171.4461322,3,search,2,"{""q"": ""test""}",200,36,0.014231865853641869,"[1, 1, 1]","[0.029143299290450782, 0.0038613266461262675, 0.014231865853641869]"
1761287174.176886,4,login_form,3,"{""username"": ""err500_user"", ""password"": ""pw"", ""Login"": ""Login""}",500,37,7.047523511044004,"[1, 1, 1, 1]","[2.168717102284236, 2.1755826934220597, 0.08099696729762512, 7.047523511044004]"
1761287175.185435,4,search,0,"{""q"": ""needle""}",200,36,0.009447240872391422,"[2, 1, 1]","[0.019295270081421102, 0.0038613266461262675, 0.014231865853641869]"
1761287177.539048,5,login_form,3,"{""username"": ""err500_user"", ""password"": ""pw"", ""Login"": ""Login""}",500,37,7.04834736037297,"[1, 1, 1, 2]","[2.168717102284236, 2.1755826934220597, 0.08099696729762512, 7.047935435708487]"
1761287178.5669396,5,search,2,"{""q"": ""test""}",200,36,0.025175568724105576,"[2, 1, 2]","[0.019295270081421102, 0.0038613266461262675, 0.019703717288873723]"
1761287181.344584,6,login_form,3,"{""username"": ""err500_user"", ""password"": ""pw"", ""Login"": ""Login""}",500,37,7.042980056966619,"[1, 1, 1, 3]","[2.168717102284236, 2.1755826934220597, 0.08099696729762512, 7.04628364279453]"
